"TOTAL
....18 to 24 years,"12,404,218","12,405,652","12,445,046","12,580,075","12,705,578","12,745,276","12,684,896","12,531,090","12,351,161","12,183,310","12,058,258","11,937,357"
....25 to 44 years,"32,914,501","32,916,864","32,920,889","32,921,306","33,017,096","33,157,455","33,344,807","33,545,605","33,781,837","34,083,451","34,392,819","34,712,122"
....45 to 64 years,"35,472,882","35,474,270","35,560,562","35,854,631","35,685,839","35,592,248","35,542,921","35,560,221","35,526,893","35,336,467","35,001,311","34,602,290"
...65 years and over,"16,181,078","16,182,140","16,273,881","16,662,878","17,470,770","18,135,179","18,794,048","19,428,674","20,071,997","20,714,702","21,369,489","22,050,477"
...85 years and over,"1,694,847","1,695,192","1,713,533","1,777,873","1,848,798","1,905,726","1,965,718","2,024,392","2,078,289","2,120,790","2,159,148","2,191,165"
,,,,,,,,,,,,
...16 years and over,"100,519,111","100,525,553","100,735,062","101,490,417","102,276,284","102,972,130","103,691,315","104,387,274","105,075,442","105,652,494","106,075,281","106,511,847"
...18 years and over,"96,972,679","96,978,926","97,200,378","98,018,890","98,879,283","99,630,158","100,366,672","101,065,590","101,731,888","102,317,930","102,821,877","103,302,246"
...15 to 44 years,"50,583,973","50,588,021","50,611,617","50,644,908","50,774,819","50,898,010","51,006,266","51,073,599","51,120,433","51,198,429","51,305,568","51,468,677"
,,,,,,,,,,,,
...Median age (years),38.4,38.4,38.4,38.6,38.7,38.7,38.8,38.9,39.0,39.0,39.2,39.4
..FEMALE,"132,105,418","132,110,318","132,248,549","132,773,294","133,319,963","133,827,035","134,404,432","134,952,900","135,493,928","135,949,305","136,271,013","136,580,999"
...Under 5 years,"7,376,794","7,376,828","7,365,206","7,317,527","7,257,271","7,206,127","7,207,425","7,220,201","7,219,460","7,200,862","7,144,519","7,071,235"
...5 to 9 years,"7,610,891","7,610,937","7,592,801","7,547,551","7,553,739","7,552,976","7,501,284","7,457,506","7,414,740","7,358,057","7,304,523","7,300,605"
