Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
..18 years and over,"157,428,903","157,436,005","157,612,815","158,138,724","158,697,800","159,117,408","159,535,056","159,852,266","160,148,823","160,358,462","160,512,491","160,626,928"
..15 to 44 years,"73,921,902","73,925,305","73,854,976","73,472,274","73,183,621","72,920,090","72,610,347","72,216,044","71,813,530","71,543,092","71,401,147","71,329,594"
,,,,,,,,,,,,
..Median age (years),42.0,42.0,42.1,42.3,42.6,42.8,43.1,43.3,43.4,43.5,43.6,43.7
..MALE,"97,017,621","97,021,367","97,064,855","97,158,345","97,295,780","97,369,753","97,460,074","97,520,329","97,548,881","97,517,824","97,417,737","97,313,073"
...Under 5 years,"5,284,563","5,284,578","5,269,961","5,218,260","5,163,279","5,119,982","5,117,630","5,118,322","5,098,661","5,075,649","5,034,879","4,975,010"
...5 to 9 years,"5,584,073","5,584,097","5,565,434","5,506,951","5,475,823","5,429,686","5,349,980","5,285,511","5,236,194","5,183,329","5,140,036","5,136,523"
...10 to 14 years,"5,882,064","5,882,114","5,868,882","5,820,680","5,757,437","5,702,000","5,651,253","5,575,236","5,517,985","5,488,139","5,441,832","5,361,288"
...15 to 19 years,"6,354,719","6,355,111","6,330,135","6,207,712","6,092,103","6,001,742","5,929,125","5,884,008","5,836,308","5,773,466","5,716,135","5,663,678"
...20 to 24 years,"6,329,497","6,330,132","6,351,211","6,421,674","6,491,350","6,504,889","6,468,329","6,369,081","6,242,490","6,119,311","6,018,920","5,940,932"
...25 to 29 years,"6,191,526","6,191,955","6,205,174","6,221,729","6,236,132","6,259,976","6,330,894","6,403,321","6,478,677","6,528,728","6,525,863","6,477,538"
...30 to 34 years,"5,818,437","5,818,658","5,848,480","5,972,451","6,073,561","6,160,951","6,205,675","6,224,708","6,249,672","6,254,614","6,266,443","6,325,953"
...35 to 39 years,"6,041,846","6,042,054","5,986,879","5,745,240","5,661,177","5,673,344","5,735,593","5,836,624","5,963,208","6,056,698","6,135,127","6,172,679"
...40 to 44 years,"6,645,458","6,645,703","6,636,350","6,618,642","6,527,624","6,375,091","6,174,639","5,952,285","5,713,805","5,623,957","5,630,480","5,685,238"
...45 to 49 years,"7,656,331","7,656,541","7,610,757","7,340,216","7,087,243","6,835,463","6,631,695","6,544,310","6,530,450","6,439,423","6,286,398","6,085,937"
...50 to 54 years,"7,830,406","7,830,610","7,832,410","7,855,796","7,788,815","7,694,914","7,599,281","7,423,915","7,162,669","6,915,910","6,670,206","6,471,645"
...55 to 59 years,"7,100,039","7,100,162","7,136,994","7,248,790","7,371,182","7,463,241","7,506,465","7,539,542","7,561,142","7,494,435","7,402,892","7,311,155"
...60 to 64 years,"6,252,816","6,252,928","6,305,604","6,569,385","6,485,933","6,536,383","6,634,756","6,761,411","6,863,529","6,975,455","7,058,890","7,099,619"
...65 to 69 years,"4,629,950","4,630,073","4,659,134","4,775,723","5,204,435","5,398,205","5,624,787","5,851,792","6,092,015","6,010,372","6,053,596","6,143,751"
...70 to 74 years,"3,374,616","3,374,749","3,394,440","3,489,187","3,640,402","3,870,429","4,031,600","4,167,268","4,272,498","4,663,175","4,841,696","5,046,753"
...75 to 79 years,"2,594,032","2,594,168","2,592,830","2,610,414","2,642,508","2,707,368","2,790,989","2,852,006","2,937,384","3,067,424","3,269,189","3,407,553"
...80 to 84 years,"1,923,684","1,923,861","1,930,798","1,942,411","1,944,878","1,938,084","1,931,855","1,941,488","1,962,039","1,988,931","2,043,353","2,109,701"
...85 years and over,"1,523,564","1,523,873","1,539,382","1,593,084","1,651,898","1,698,005","1,745,528","1,789,501","1,830,155","1,858,808","1,881,802","1,898,120"
,,,,,,,,,,,,
...Under 18 years,"20,483,792","20,483,990","20,423,426","20,198,636","19,984,653","19,790,112","19,629,798","19,486,935","19,338,167","19,179,450","18,989,715","18,814,179"
....Under 5 years,"5,284,563","5,284,578","5,269,961","5,218,260","5,163,279","5,119,982","5,117,630","5,118,322","5,098,661","5,075,649","5,034,879","4,975,010"
....5 to 13 years,"10,265,799","10,265,857","10,241,188","10,152,770","10,065,206","9,966,831","9,829,980","9,715,734","9,642,142","9,558,488","9,467,887","9,403,116"
....14 to 17 years,"4,933,430","4,933,555","4,912,277","4,827,606","4,756,168","4,703,299","4,682,188","4,652,879","4,597,364","4,545,313","4,486,949","4,436,053"
...18 to 64 years,"62,487,983","62,490,653","62,524,845","62,548,890","62,227,006","61,967,550","61,705,517","61,431,339","61,116,623","60,749,664","60,338,386","59,893,016"
....18 to 24 years,"8,951,124","8,952,042","8,962,197","8,976,641","8,995,339","8,968,187","8,886,519","8,745,223","8,593,471","8,460,444","8,362,087","8,263,252"
....25 to 44 years,"24,697,267","24,698,370","24,676,883","24,558,062","24,498,494","24,469,362","24,446,801","24,416,938","24,405,362","24,463,997","24,557,913","24,661,408"
....45 to 64 years,"28,839,592","28,840,241","28,885,765","29,014,187","28,733,173","28,530,001","28,372,197","28,269,178","28,117,790","27,825,223","27,418,386","26,968,356"
...65 years and over,"14,045,846","14,046,724","14,116,584","14,410,819","15,084,121","15,612,091","16,124,759","16,602,055","17,094,091","17,588,710","18,089,636","18,605,878"
...85 years and over,"1,523,564","1,523,873","1,539,382","1,593,084","1,651,898","1,698,005","1,745,528","1,789,501","1,830,155","1,858,808","1,881,802","1,898,120"
,,,,,,,,,,,,
...16 years and over,"79,044,226","79,047,856","79,142,264","79,419,159","79,724,166","79,949,745","80,175,954","80,369,548","80,550,473","80,658,216","80,687,792","80,726,056"
...18 years and over,"76,533,829","76,537,377","76,641,429","76,959,709","77,311,127","77,579,641","77,830,276","78,033,394","78,210,714","78,338,374","78,428,022","78,498,894"
...15 to 44 years,"37,381,483","37,383,613","37,358,229","37,187,448","37,081,947","36,975,993","36,844,255","36,670,027","36,484,160","36,356,774","36,292,968","36,266,018"
,,,,,,,,,,,,
...Median age (years),40.7,40.7,40.8,41.1,41.4,41.6,41.7,41.8,41.9,42.0,42.1,42.2
..FEMALE,"100,301,335","100,305,067","100,323,737","100,328,054","100,343,792","100,320,652","100,339,518","100,316,671","100,296,785","100,230,335","100,117,465","99,996,749"
