Census,Estimates Base,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
...Under 5 years,"453,183","453,183","453,396","454,284","456,481","462,534","472,123","484,567","496,205","502,239","497,467","493,292"
...5 to 9 years,"459,460","459,461","461,025","469,664","482,755","492,426","498,055","505,078","508,548","512,442","516,964","523,236"
...10 to 14 years,"441,164","441,165","444,249","455,415","464,223","478,388","494,327","505,755","513,480","525,356","532,419","535,036"
...15 to 19 years,"488,446","488,458","487,839","488,239","492,137","498,730","505,118","516,104","527,005","533,948","542,697","554,140"
...20 to 24 years,"557,102","557,133","562,334","586,687","607,813","621,465","631,580","637,421","640,834","643,092","638,566","633,525"
...25 to 29 years,"586,156","586,172","590,920","613,906","632,581","654,849","685,879","719,974","752,597","776,551","783,273","782,670"
...30 to 34 years,"580,524","580,529","582,241","597,583","623,518","651,482","681,239","709,692","741,094","763,126","781,025","803,656"
...35 to 39 years,"610,013","610,016","612,000","618,940","621,730","625,205","635,169","652,045","673,322","703,264","730,722","756,389"
...40 to 44 years,"542,480","542,481","548,390","571,968","600,863","621,974","638,052","650,732","659,458","663,393","665,299","672,370"
...45 to 49 years,"504,636","504,639","506,811","520,176","528,655","535,952","550,527","573,169","597,148","625,581","644,943","658,574"
...50 to 54 years,"453,011","453,013","456,721","465,079","475,711","492,178","509,642","519,847","532,852","540,741","546,392","558,679"
...55 to 59 years,"382,017","382,017","385,678","404,724","421,838","437,845","450,138","464,539","472,823","482,793","497,659","512,885"
...60 to 64 years,"310,740","310,740","315,961","334,599","348,324","361,625","375,997","390,170","409,341","425,679","439,816","450,307"
...65 to 69 years,"216,164","216,164","219,125","231,788","250,068","270,783","292,273","316,393","334,484","347,624","359,708","372,379"
...70 to 74 years,"161,001","161,003","163,363","172,712","182,696","192,206","202,934","213,863","226,306","243,985","263,215","282,576"
...75 to 79 years,"106,209","106,211","107,536","115,069","123,426","132,199","141,618","151,746","160,610","169,877","178,568","188,019"
...80 to 84 years,"66,269","66,272","67,377","71,769","76,227","81,290","86,771","92,459","99,405","106,757","114,374","122,285"
...85 years and over,"51,248","51,250","52,390","57,126","62,459","67,764","73,627","80,428","86,971","93,769","101,152","108,791"
,,,,,,,,,,,,
...Under 18 years,"1,631,631","1,631,634","1,637,399","1,662,116","1,688,944","1,722,145","1,755,492","1,793,783","1,826,900","1,855,560","1,867,378","1,875,863"
....Under 5 years,"453,183","453,183","453,396","454,284","456,481","462,534","472,123","484,567","496,205","502,239","497,467","493,292"
....5 to 13 years,"810,414","810,415","814,613","834,094","855,409","878,878","894,320","908,942","922,424","932,466","942,551","950,533"
....14 to 17 years,"368,034","368,036","369,390","373,738","377,054","380,733","389,049","400,274","408,271","420,855","427,360","432,038"
...18 to 64 years,"4,737,301","4,737,373","4,770,166","4,919,148","5,067,685","5,212,508","5,372,354","5,535,310","5,697,807","5,842,645","5,949,864","6,058,896"
....18 to 24 years,"767,724","767,766","771,444","792,173","814,465","831,398","845,711","855,142","859,172","861,517","860,735","863,366"
....25 to 44 years,"2,319,173","2,319,198","2,333,551","2,402,397","2,478,692","2,553,510","2,640,339","2,732,443","2,826,471","2,906,334","2,960,319","3,015,085"
....45 to 64 years,"1,650,404","1,650,409","1,665,171","1,724,578","1,774,528","1,827,600","1,886,304","1,947,725","2,012,164","2,074,794","2,128,810","2,180,445"
...65 years and over,"600,891","600,900","609,791","648,464","694,876","744,242","797,223","854,889","907,776","962,012","1,017,017","1,074,050"
...85 years and over,"51,248","51,250","52,390","57,126","62,459","67,764","73,627","80,428","86,971","93,769","101,152","108,791"
,,,,,,,,,,,,
...16 years and over,"5,525,015","5,525,097","5,567,959","5,757,602","5,954,964","6,151,840","6,366,178","6,588,052","6,809,997","7,018,385","7,180,372","7,348,698"
...18 years and over,"5,338,192","5,338,273","5,379,957","5,567,612","5,762,561","5,956,750","6,169,577","6,390,199","6,605,583","6,804,657","6,966,881","7,132,946"
...15 to 44 years,"3,364,721","3,364,789","3,383,724","3,477,323","3,578,642","3,673,705","3,777,037","3,885,968","3,994,310","4,083,374","4,141,582","4,202,750"
,,,,,,,,,,,,
...Median age (years),34.3,34.3,34.4,34.6,34.7,34.8,35.0,35.1,35.3,35.5,35.8,36.1
..FEMALE,"7,691,693","7,691,732","7,743,638","7,980,734","8,222,421","8,468,944","8,735,666","9,014,218","9,280,823","9,526,032","9,711,169","9,897,070"
...Under 5 years,"436,985","436,986","436,907","436,410","438,012","441,317","448,093","457,780","468,517","473,733","469,549","465,964"
...5 to 9 years,"462,116","462,116","463,133","469,144","477,942","483,939","486,197","489,207","489,781","492,052","493,351","496,739"
...10 to 14 years,"434,569","434,569","438,052","449,921","459,474","474,603","492,348","504,357","510,523","518,421","521,482","520,536"
...15 to 19 years,"462,710","462,716","462,852","465,751","473,701","483,903","493,931","507,683","520,740","529,606","540,045","553,165"
...20 to 24 years,"545,217","545,223","549,420","572,509","589,957","600,296","607,639","613,395","617,777","623,760","623,488","622,844"
...25 to 29 years,"648,309","648,310","650,832","666,459","677,907","694,287","721,377","750,221","779,440","798,867","799,156","792,421"
...30 to 34 years,"661,829","661,832","665,562","686,995","713,505","740,655","765,927","789,232","812,693","828,146","839,788","857,685"
...35 to 39 years,"686,936","686,939","688,980","697,223","703,785","710,317","724,615","745,697","769,520","797,712","823,022","844,068"
...40 to 44 years,"613,604","613,607","620,561","650,047","684,332","708,502","726,651","740,467","751,192","758,739","762,724","772,724"
...45 to 49 years,"572,949","572,952","574,512","588,162","599,553","610,351","626,398","654,005","682,736","715,937","737,503","752,726"
...50 to 54 years,"529,740","529,741","533,486","541,932","551,212","568,799","588,630","598,604","611,199","621,330","629,380","642,400"
...55 to 59 years,"465,276","465,279","469,448","489,772","508,186","525,196","538,834","553,860","563,398","572,710","587,700","604,279"
...60 to 64 years,"381,351","381,352","388,344","414,852","432,538","450,384","468,395","486,288","507,306","525,856","541,357","552,695"
...65 to 69 years,"259,949","259,949","264,264","281,237","306,085","334,502","364,282","397,266","424,829","443,401","460,184","476,184"
...70 to 74 years,"194,695","194,696","197,100","208,313","221,766","234,014","249,507","265,639","282,425","306,629","333,543","361,124"
...75 to 79 years,"145,710","145,710","146,800","153,860","161,633","169,408","178,880","189,923","200,702","213,389","224,559","238,470"
...80 to 84 years,"102,971","102,973","104,475","110,218","115,515","121,571","126,725","131,957","138,555","145,683","152,805","161,055"
...85 years and over,"86,777","86,782","88,910","97,929","107,318","116,900","127,237","138,637","149,490","160,061","171,533","181,991"
,,,,,,,,,,,,
...Under 18 years,"1,597,108","1,597,111","1,603,141","1,627,178","1,653,403","1,682,983","1,712,999","1,746,161","1,774,166","1,797,666","1,804,152","1,808,209"
....Under 5 years,"436,985","436,986","436,907","436,410","438,012","441,317","448,093","457,780","468,517","473,733","469,549","465,964"
....5 to 13 years,"808,972","808,972","812,837","829,570","847,221","868,155","881,638","892,901","900,984","904,882","907,752","909,943"
....14 to 17 years,"351,151","351,153","353,397","361,198","368,170","373,511","383,268","395,480","404,665","419,051","426,851","432,302"
...18 to 64 years,"5,304,483","5,304,511","5,338,948","5,501,999","5,656,701","5,809,566","5,976,036","6,144,635","6,310,656","6,459,203","6,564,393","6,670,037"
....18 to 24 years,"744,489","744,499","747,223","766,557","785,683","801,075","815,209","826,261","833,172","839,906","843,763","851,039"
....25 to 44 years,"2,610,678","2,610,688","2,625,935","2,700,724","2,779,529","2,853,761","2,938,570","3,025,617","3,112,845","3,183,464","3,224,690","3,266,898"
....45 to 64 years,"1,949,316","1,949,324","1,965,790","2,034,718","2,091,489","2,154,730","2,222,257","2,292,757","2,364,639","2,435,833","2,495,940","2,552,100"
...65 years and over,"790,102","790,110","801,549","851,557","912,317","976,395","1,046,631","1,123,422","1,196,001","1,269,163","1,342,624","1,418,824"
